Model;Make;Model;VehicleClass;EngineSize;Cylinders;Transmission;Fuel;FuelConsumption;CO2 Emissions;CO2;Smog
2021;Bentley;Bentayga;SUV: Standard;4.0;8;AS8;Z;15.8;309;3;3
2021;Bentley;Bentayga;SUV: Standard;6.0;12;AS8;Z;19.0;383;1;3
2021;Bentley;Continental GT;Subcompact;4.0;8;AM8;Z;15.0;290;3;3
2021;Bentley;Continental GT;Subcompact;6.0;12;AM8;Z;19.0;364;2;3
2021;Bentley;Continental GT Convertible;Minicompact;4.0;8;AM8;Z;15.0;290;3;3
2021;Bentley;Continental GT Convertible;Minicompact;6.0;12;AM8;Z;19.2;373;2;3
2021;Bentley;Flying Spur;Mid-size;4.0;8;AM8;Z;15.5;323;3;3
2021;Bentley;Flying Spur;Mid-size;6.0;12;AM8;Z;19.2;373;2;3
2021;BMW;228i xDrive Gran Coupe;Compact;2.0;4;AS8;Z;10.2;206;6;7
2021;BMW;230i xDrive Cabriolet;Subcompact;2.0;4;AS8;Z;11.2;225;5;7
2021;BMW;230i xDrive Coupe;Subcompact;2.0;4;AS8;Z;11.2;225;5;7
2021;BMW;330i xDrive Sedan;Compact;2.0;4;AS8;Z;9.5;195;6;7
2021;BMW;430i xDrive Coupe;Subcompact;2.0;4;AS8;Z;10.0;202;6;7
2021;BMW;530i xDrive Sedan;Mid-size;2.0;4;AS8;Z;10.1;206;6;7
2021;BMW;540i xDrive Sedan;Full-size;3.0;6;AS8;Z;10.3;211;5;5
2021;BMW;750i xDrive Sedan;Full-size;4.4;8;AS8;Z;14.0;281;4;3
2021;BMW;750Li xDrive Sedan;Full-size;4.4;8;AS8;Z;14.0;281;4;3
2021;BMW;Alpina B7 xDrive;Full-size;4.4;8;AS8;Z;14.0;281;4;3
2021;BMW;Alpina XB7;SUV: Standard;4.4;8;AS8;Z;15.7;321;3;3
2021;BMW;M2 Competition;Subcompact;3.0;6;AM7;Z;14.3;293;3;3
2021;BMW;M2 Competition;Subcompact;3.0;6;M6;Z;13.4;273;4;3
2021;BMW;M235i xDrive Gran Coupe;Compact;2.0;4;AS8;Z;10.4;213;5;7
2021;BMW;M240i xDrive Cabriolet;Subcompact;3.0;6;AS8;Z;11.3;228;5;3
2021;BMW;M240i xDrive Coupe;Subcompact;3.0;6;AS8;Z;11.3;228;5;3
2021;BMW;M340i xDrive Sedan;Compact;3.0;6;AS8;Z;10.5;214;5;5
2021;BMW;M440i xDrive Coupe;Subcompact;3.0;6;AS8;Z;10.5;214;5;5
2021;BMW;M5 Sedan;Mid-size;4.4;8;AS8;Z;16.0;323;3;3
2021;BMW;M5 Competition;Mid-size;4.4;8;AS8;Z;16.0;323;3;3
2021;BMW;M550i xDrive Sedan;Mid-size;4.4;8;AS8;Z;13.5;272;4;3
2021;BMW;M760i xDrive Sedan;Full-size;6.6;12;AS8;Z;17.8;354;2;3
2021;BMW;M8 Cabriolet;Subcompact;4.4;8;AS8;Z;16.0;323;3;3
2021;BMW;M8 Cabriolet Competition;Subcompact;4.4;8;AS8;Z;16.0;323;3;3
2021;BMW;M8 Coupe;Subcompact;4.4;8;AS8;Z;16.0;323;3;3
2021;BMW;M8 Coupe Competition;Subcompact;4.4;8;AS8;Z;16.0;323;3;3
2021;BMW;M8 Gran Coupe;Mid-size;4.4;8;AS8;Z;16.0;323;3;3
2021;BMW;M8 Gran Coupe Competition;Mid-size;4.4;8;AS8;Z;16.0;323;3;3
2021;BMW;M850i xDrive Cabriolet;Subcompact;4.4;8;AS8;Z;14.0;281;4;3
2021;BMW;M850i xDrive Coupe;Subcompact;4.4;8;AS8;Z;13.5;272;4;3
2021;BMW;M850i xDrive Gran Coupe;Mid-size;4.4;8;AS8;Z;14.0;281;4;3
2021;BMW;X1 xDrive28i;SUV: Small;2.0;4;AS8;Z;10.3;213;5;7
2021;BMW;X2 xDrive28i;SUV: Small;2.0;4;AS8;Z;9.8;205;6;7
2021;BMW;X2 M35i;SUV: Small;2.0;4;AS8;Z;10.0;209;5;7
2021;BMW;X3 xDrive30i;SUV: Small;2.0;4;AS8;Z;10.2;217;5;7
2021;BMW;X3 M;SUV: Small;3.0;6;AS8;Z;16.6;339;2;3
2021;BMW;X3 M Competition;SUV: Small;3.0;6;AS8;Z;16.6;339;2;3
2021;BMW;X3 M40i;SUV: Small;3.0;6;AS8;Z;11.3;235;5;5
2021;BMW;X4 xDrive30i;SUV: Small;2.0;4;AS8;Z;10.2;217;5;7
2021;BMW;X4 M;SUV: Small;3.0;6;AS8;Z;16.6;339;2;3
2021;BMW;X4 M Competition;SUV: Small;3.0;6;AS8;Z;16.6;339;2;3
2021;BMW;X4 M40i;SUV: Small;3.0;6;AS8;Z;11.3;235;5;5
2021;BMW;X5 xDrive40i;SUV: Standard;3.0;6;AS8;Z;11.4;242;5;3
2021;BMW;X5 M;SUV: Standard;4.4;8;AS8;Z;17.9;364;2;3
2021;BMW;X5 M Competition;SUV: Standard;4.4;8;AS8;Z;17.9;364;2;3
2021;BMW;X5 M50i;SUV: Standard;4.4;8;AS8;Z;14.4;302;3;3
2021;BMW;X6 xDrive40i;SUV: Standard;3.0;6;AS8;Z;11.4;242;5;3
2021;BMW;X6 M;SUV: Standard;4.4;8;AS8;Z;17.9;364;2;3
2021;BMW;X6 M Competition;SUV: Standard;4.4;8;AS8;Z;17.9;364;2;3
2021;BMW;X6 M50i;SUV: Standard;4.4;8;AS8;Z;14.4;302;3;3
2021;BMW;X7 xDrive40i;SUV: Standard;3.0;6;AS8;Z;12.1;256;4;3
2021;BMW;X7 M50i;SUV: Standard;4.4;8;AS8;Z;15.7;321;3;3
2021;BMW;Z4 sDrive30i;Two-seater;2.0;4;AS8;Z;9.4;197;6;7
2021;BMW;Z4 M40i;Two-seater;3.0;6;AS8;Z;10.7;221;5;5
2021;Bugatti;Chiron;Two-seater;8.0;16;AM7;Z;26.8;522;1;1
2021;Bugatti;Chiron Pur Sport;Two-seater;8.0;16;AM7;Z;30.3;608;1;1
